REGISTRO;POZO;ALS;AREA;FORMACION;FechaMonitoreo; BWPD ; BOPD ; BFPD ;BSW; PPMaverage ; PPMmax ;P25to45;P45to106;P106to250;P250to425;PM425;CUADRILLA
3075;5050;PCP;CIRA SUR;MUGROSA B;13-may;406;110;516;78,67%;14,9;40,86;53,71%;;35,95%;6,14%;4,20%;C1
3076;3767;BM;INFA CENTRAL;MUGROSA C;13-may;380;20;400;94,94%;176,02;518,49;94,00%;;4,46%;1,07%;0,47%;C1
3077;2724;BM;CIRA SUR;MUGROSA C;14-may;385;46,99;431,99;89,04%;80,74;190,98;93,06%;;5,69%;0,92%;0,33%;C1
3077,1;2868;PCP;CIRA ESTE;MUGROSA C;14-may;384;31,9;415,9;92,31%;32,23;88,09;54,46%;;34,30%;5,43%;5,80%;C1
3078;2936;BM;CIRA SUR;MUGROSA B;14-may;8;8;16;51,71%;4,17;9,24;41,69%;;25,98%;16,01%;16,31%;C1
3079;5048;BM;CIRA SUR;MUGROSA B;14-may;133;32;165;80,67%;2,93;8,29;68,24%;;27,03%;4,73%;0,00%;C1
3080;5058;BM;CIRA SUR;MUGROSA B;15-may;5;37,02;42,02;12,18%;6,75;13,62;75,91%;;21,20%;2,72%;0,18%;C1
3081;2278;PCP;CIRA NORTE;MUGROSA C;15-may;633;52,6;685,6;92,31%;33,11;86,47;63,16%;;31,58%;5,06%;0,20%;C1
3082;5100;PCP;CIRA SUR;MUGROSA B;15-may;59;29,54;88,54;66,47%;3,36;6,53;79,81%;;15,38%;4,49%;0,32%;C1
3083;3767;BM;INFA CENTRAL;MUGROSA C;15-may;380;20;400;94,94%;10,03;29,7;83,80%;;14,12%;0,94%;1,13%;C1
3084;5049;BM;CIRA SUR;MUGROSA B;16-may;10;31;41;24,00%;8,87;9;35,30%;;48,60%;10,19%;5,91%;C1
3085;2123;PCP;CIRA SUR;MUGROSA B;16-may;106;94;200;53,00%;8,19;8,58;23,11%;;40,83%;31,28%;4,78%;C1
3086;2541;PCP;CIRA NORTE;MUGROSA C;13-may;527;43,1;570,1;92,37%;65,7;122,03;95,57%;;3,61%;0,50%;0,33%;C2
3087;2913;BM;CIRA SUR;MUGROSA C;13-may;926;18,05;944,05;98,08%;10,15;22,75;88,78%;;5,80%;1,48%;3,95%;C2
3088;1726;BM;CIRA NORTE;MUGROSA B;14-may;85;67,5;152,5;55,69%;122,33;369,07;27,06%;;64,74%;7,32%;0,88%;C2
3089;3097;BM;CIRA SUR;MUGROSA C;14-may;160;5,38;165,38;96,67%;1,59;4,22;32,48%;;17,09%;24,79%;25,64%;C2
3090;2852;BM;CIRA ESTE;MUGROSA C;14-may;358;20,6;378,6;94,67%;40,68;61,82;82,09%;;15,74%;1,45%;0,72%;C2
3091;4600;PCP;CIRA SUR;MUGROSA C;14-may;236;32,9;268,9;87,80%;17,39;58,12;81,38%;;16,49%;1,36%;0,78%;C2
3092;2101;ESP;CIRA SUR;MUGROSA C;15-may;1601;98;1699;94,22%;122,46;227,26;42,89%;;45,86%;9,35%;1,90%;C2
3093;2385;ESP;INFA NORTE;MUGROSA C;15-may;885;65,65;950,65;93,10%;53,74;142,58;4,18%;;22,05%;59,20%;14,57%;C2
3094;2172;ESP;CIRA SUR;MUGROSA C;15-may;828;88,1;916,1;90,35%;310,52;532,58;67,37%;;30,23%;1,94%;0,47%;C2
3095;3201;BM;INFA SUR;MUGROSA C;15-may;1089;55,22;1144,22;95,15%;17,02;29,25;45,31%;;24,04%;6,45%;24,19%;C2
3096;2153;BM;CIRA SUR;MUGROSA C;16-may;746;54,05;800,05;93,18%;5,06;5,19;61,94%;;27,30%;8,40%;2,36%;C2
3097;2237;BM;CIRA NORTE;MUGROSA C;16-may;981;28;1009;97,22%;2,63;3,49;52,56%;;32,05%;10,26%;5,13%;C2
3098;3957;BM;CIRA SUR;MUGROSA C;13-may;569;46,4;615,4;92,53%;4,09;4,16;47,62%;;24,13%;6,67%;21,59%;C3
3099;3464;PCP;CIRA SUR;MUGROSA C;13-may;617;36,8;653,8;94,30%;4,6;9,17;62,93%;;12,93%;17,24%;6,90%;
3100;2691;PCP;CIRA SUR;MUGROSA C;14-may;581;11,08;592,08;98,16%;11,82;11,9;84,29%;;8,52%;2,32%;4,87%;C3
3101;3417;PCP;CIRA SUR;MUGROSA C;14-may;997;12,96;1009,96;98,75%;3,92;3,98;56,67%;;9,00%;8,33%;26,00%;C3
3102;3906;PCP;CIRA NORTE;MUGROSA C;14-may;369;31;400;92,31%;1,48;1,5;22,12%;;39,82%;7,08%;30,97%;C3
3103;2224;ESP;CIRA NORTE;MUGROSA C;14-may;895;41,49;936,49;95,49%;100,46;101,96;36,69%;;43,95%;15,69%;3,67%;C3
3104;2212;ESP;CIRA SUR;MUGROSA C;15-may;1432;67,89;1499,89;95,46%;52,77;53,39;75,10%;;15,61%;6,05%;3,24%;C3
3105;3506;BM;CIRA ESTE;MUGROSA C;15-may;861;91,8;952,8;90,36%;50,41;119,28;69,39%;;27,34%;2,69%;0,59%;C3
3106;2263;BM;CIRA NORTE;MUGROSA C;15-may;331;45;376;88,16%;7,98;8,05;73,89%;;18,06%;3,78%;4,27%;C3
3107;2757;BM;CIRA ESTE;MUGROSA C;15-may;102;16,25;118,25;86,20%;7,86;8,04;73,77%;;18,03%;3,77%;4,43%;C3
3108;2258;BM;CIRA ESTE;MUGROSA C;16-may;627;69,5;696,5;90,00%;16,54;37;58,99%;;37,11%;2,18%;1,72%;C3
3109;2557;BM;CIRA SUR;MUGROSA C;16-may;157;85,17;242,17;64,65%;3,14;8,02;36,56%;;46,56%;11,56%;5,31%;C3
3110;928;BM;CIRA SUR;MUGROSA CB;16-may;445;0;445;100,00%;24,91;126,02;41,93%;;46,53%;9,11%;2,43%;C3
3111;3210;BM;INFA SUR;MUGROSA C;16-may;1008;20;1028;98,08%;15,2;37,66;67,34%;;30,64%;1,26%;0,76%;C3
3112;2391;BM;INFA CENTRAL;MUGROSA B;17-may;0;2,4;2,4;1,00%;45,64;125,2;80,72%;;17,17%;1,46%;0,66%;C3
3113;3120;BM;INFA CENTRAL;MUGROSA C;17-may;1110;73,83;1183,83;93,79%;25,76;45,81;29,00%;;55,08%;13,85%;2,08%;C3
3114;2626;PCP;CIRA SUR;MUGROSA C;17-may;864;52,9;916,9;94,22%;18,76;43,58;74,81%;;21,92%;1,67%;1,59%;C3
3115;511;BM;CIRA SUR;MUGROSA C;17-may;1069;16,05;1085,05;98,55%;5,11;5,22;46,95%;;31,73%;12,94%;8,38%;C3
3116;2212;ESP;CIRA SUR;MUGROSA C;20-may;1432;67,89;1499,89;95,46%;205,13;207,69;48,98%;;18,40%;6,50%;26,11%;C3
3117;3906;PCP;CIRA NORTE;MUGROSA C;20-may;369;31;400;92,31%;34,43;34,52;29,87%;;41,44%;22,15%;6,54%;C3
3118;3767;BM;INFA CENTRAL;MUGROSA C;16-may;671;35,87;706,87;94,94%;35,66;95,11;93,97%;;4,31%;0,84%;0,88%;C1
3119;3940;ESP;CIRA NORTE;MUGROSA C;17-may;787;29,3;816,3;96,45%;108,97;111,21;33,13%;;62,24%;4,32%;0,31%;C1
3120;2273;ESP;CIRA NORTE;MUGROSA C;17-may;703;51,5;754,5;93,20%;460,34;469,61;80,10%;;17,30%;2,12%;0,47%;C1
3121;2278;PCP;CIRA NORTE;MUGROSA C;17-may;633;52,6;685,6;92,31%;203,52;1087,59;57,39%;;38,63%;3,91%;0,07%;C1
3122;2265;PCP;CIRA NORTE ;MUGROSA C;17-may;600;59,65;659,65;91,00%;743,7;1437,71;74,83%;;23,97%;0,74%;0,46%;C1
3123;5050;PCP;CIRA SUR;MUGROSA B;20-may;406;110;516;78,67%;23,35;23,89;47,93%;;45,08%;4,64%;2,35%;C1
3124;2233;BM;CIRA NORTE;MUGROSA C;20-may;716;21,7;737,7;97,00%;6,19;6,52;31,33%;;31,33%;22,75%;14,59%;C1
3125;5099;BM;CIRA SUR;MUGROSA B;16-may;165;31,31;196,31;84,27%;52,59;53,57;32,86%;;24,91%;12,75%;29,48%;C1
3126;2058;ESP;CIRA SUR;MUGROSA C;16-may;1647;119;1766;93,26%;56,91;119,75;16,87%;;19,93%;38,02%;25,17%;C2
3127;2217;BM;CIRA NORTE;MUGROSA C;16-may;148;12,86;160,86;92,20%;5,77;7,5;41,32%;;27,07%;19,21%;12,40%;C2
3128;2993;ESP;CIRA SUR;MUGROSA C;17-may;871;80,7;951,7;91,53%;25,42;25,75;11,35%;;39,73%;36,84%;12,07%;C2
3129;2226;ESP;CIRA NORTE;MUGROSA C;17-may;858;34,27;892,27;96,15%;6,47;13,02;25,58%;;31,07%;17,34%;26,01%;C2
3130;3098;PCP;CIRA SUR;MUGROSA C;17-may;1;110,47;111,47;1,00%;48,22;82,31;84,01%;;5,64%;4,08%;6,27%;C2
3131;2634;BM;CIRA SUR;MUGROSA C;17-may;1067;77;1144;93,25%;2,49;2,57;60,43%;;24,06%;6,95%;8,56%;C2
3132;2541;PCP;CIRA NORTE;MUGROSA C;20-may;527;43,1;570,1;92,37%;24,81;39,42;75,17%;;17,99%;3,91%;2,93%;C2
3133;1726;BM;CIRA NORTE;MUGROSA B;20-may;85;67,5;152,5;55,69%;84,39;85,37;14,68%;;72,16%;11,56%;1,61%;C2
3134;3767;BM;INFA CENTRAL;MUGROSA C;20-may;380;20;400;94,94%;94,52;97,8;88,07%;;8,76%;1,55%;1,62%;C1
