Nombre;NAME;TOPX;TOPY;LEASE;CURRENTTYPE;STRUCTURE;MOP
526;CIRA0526;1032702.88;1260360.72;526;PROD_OIL;CIRA SOUTH;BEAM
530;CIRA0530;1033219.95;1260850.98;530;PROD_OIL;INFANTAS NORTH;BEAM
533;CIRA0533;1031409.5;1264419.66;533;PROD_OIL;CIRA SOUTH;BEAM
536;CIRA0536;1032522.85;1265857.24;536;PROD_OIL;CIRA NORTH;BEAM
543;CIRA0543;1032344.4;1265794.6;543;PROD_OIL;CIRA NORTH;BEAM
555;CIRA0555;1032986.88;1262159.35;555;PROD_OIL;CIRA SOUTH;BEAM
556;CIRA0556;1033219.63;1261076.19;556;PROD_OIL;INFANTAS NORTH;BEAM
560;CIRA0560;1033601.05;1261986.48;560;PROD_OIL;INFANTAS NORTH;BEAM
561;CIRA0561;1033216.82;1262276.61;561;PROD_OIL;CIRA SOUTH;BEAM
568;CIRA0568;1033051.77;1262159.84;568;PROD_OIL;CIRA SOUTH;BEAM
575;CIRA0575;1033446.96;1261767.12;575;PROD_OIL;INFANTAS NORTH;BEAM
576;CIRA0576;1033473.04;1262176.7;576;PROD_OIL;INFANTAS NORTH;BEAM
580;CIRA0580;1033572.42;1261949.45;580;PROD_OIL;INFANTAS NORTH;BEAM
586;CIRA0586;1032516.92;1264704.07;586;PROD_OIL;CIRA SOUTH;BEAM
588;CIRA0588;1033878.26;1267076.18;588;PROD_OIL;CIRA EAST;BEAM
592;CIRA0592;1031305.1;1262973.15;592;PROD_OIL;CIRA SOUTH;BEAM
597;CIRA0597;1032920.32;1261955.04;597;PROD_OIL;CIRA SOUTH;BEAM
600;CIRA0600;1037418.31;1267198.74;600;PROD_OIL;CIRA EAST;BEAM
604;CIRA0604;1033004.42;1261835.42;604;PROD_OIL;CIRA SOUTH;BEAM
607;CIRA0607;1032757.18;1262388.9;607;PROD_OIL;CIRA SOUTH;BEAM
608;CIRA0608;1033217.59;1264919.45;608;PROD_OIL;CIRA SOUTH;BEAM
610;CIRA0610;1033031.1;1264800.85;610;PROD_OIL;CIRA SOUTH;BEAM
612;CIRA0612;1033045.57;1261575.81;612;PROD_OIL;CIRA SOUTH;BEAM
616;CIRA0616;1033689.51;1265986.18;616;PROD_OIL;CIRA EAST;BEAM
619;CIRA0619;1032740.52;1262172.8;619;PROD_OIL;CIRA SOUTH;BEAM
624;CIRA0624;1032174.45;1263874.38;624;PROD_OIL;CIRA SOUTH;BEAM
627;CIRA0627;1033898.48;1266073.27;627;PROD_OIL;CIRA EAST;BEAM
629;CIRA0629;1033045.81;1261359.26;629;PROD_OIL;CIRA SOUTH;BEAM
639;CIRA0639;1032365.85;1263610.17;639;PROD_OIL;CIRA SOUTH;BEAM
641;CIRA0641;1032347.77;1264174.71;641;PROD_OIL;CIRA SOUTH;BEAM
642;CIRA0642;1033569.86;1266493.02;642;PROD_OIL;CIRA EAST;BEAM
644;CIRA0644;1032869.63;1261478.5;644;PROD_OIL;CIRA SOUTH;BEAM
650;CIRA0650;1032171.49;1264074.89;650;PROD_OIL;CIRA SOUTH;BEAM
651;CIRA0651;1032370.22;1263973.95;651;PROD_OIL;CIRA SOUTH;BEAM
652;CIRA0652;1033530.99;1265876.31;652;PROD_OIL;CIRA EAST;BEAM
655;CIRA0655;1033537.17;1266270.99;655;PROD_OIL;CIRA EAST;BEAM
656;CIRA0656;1033511.01;1266079.14;656;PROD_OIL;CIRA EAST;BEAM
657;CIRA0657;1033895.69;1266272.57;657;PROD_OIL;CIRA EAST;BEAM
658;CIRA0658;1033729;1266176.12;658;PROD_OIL;CIRA EAST;BEAM
661;CIRA0661;1034187.53;1266262.26;661;PROD_OIL;CIRA EAST;BEAM
683;CIRA0683;1032777.3;1261640.15;683;PROD_OIL;CIRA SOUTH;BEAM
684;CIRA0684;1032536.05;1261677.62;684;PROD_OIL;CIRA SOUTH;BEAM
686;CIRA0686;1032840.52;1261787.36;686;PROD_OIL;CIRA SOUTH;BEAM
687;CIRA0687;1032541.72;1261888.24;687;PROD_OIL;CIRA SOUTH;BEAM
691;CIRA0691;1032943.82;1261968.14;691;PROD_OIL;CIRA SOUTH;BEAM
700;CIRA0700;1033276.61;1265964.8;700;PROD_OIL;CIRA NORTH;BEAM
701;CIRA0701;1032328.78;1265557.88;701;PROD_OIL;CIRA NORTH;BEAM
703;CIRA0703;1032688.44;1265565.15;703;PROD_OIL;CIRA NORTH;BEAM
704;CIRA0704;1032786.6;1265806.43;704;PROD_OIL;CIRA NORTH;BEAM
705;CIRA0705;1032172.92;1265064.16;705;PROD_OIL;CIRA SOUTH;BEAM
706;CIRA0706;1032292.27;1265343.78;706;PROD_OIL;CIRA NORTH;BEAM
707;CIRA0707;1030923.52;1262864.55;707;PROD_OIL;CIRA SOUTH;BEAM
708;CIRA0708;1031934.58;1265658.42;708;PROD_OIL;CIRA NORTH;BEAM
709;CIRA0709;1034254.04;1266665.19;709;PROD_OIL;CIRA EAST;BEAM
710;CIRA0710;1031547.45;1264847.35;710;PROD_OIL;CIRA SOUTH;BEAM
711;CIRA0711;1031853.89;1264588.12;711;PROD_OIL;CIRA SOUTH;BEAM
